emp_no,title,fullname,from_date_and_to_date
62046,Senior Engineer,Karlis Nanard,2001-09-19 and 9999-01-01
63294,Senior Engineer,Tetsushi Tanemo,2002-03-01 and 9999-01-01
63566,Senior Staff,Heekeun Slaats,1999-01-12 and 9999-01-01
63419,Senior Engineer,Hiroyasu Seuren,1989-03-05 and 9999-01-01
63631,Senior Engineer,Falguni Cherinka,1986-09-08 and 9999-01-01
63441,Staff,Hinrich Scallan,1999-04-04 and 9999-01-01
63706,Engineer,Sedat Itzigehl,1997-07-31 and 9999-01-01
64023,Senior Engineer,Laurentiu Benzmuller,1999-11-08 and 9999-01-01
64487,Engineer,Tsutomu Rebaine,1986-09-17 and 1994-09-17
64209,Senior Staff,Golgen Schoegge,1988-02-26 and 9999-01-01
64487,Senior Engineer,Tsutomu Rebaine,1994-09-17 and 9999-01-01
64532,Engineer,Atilio Segond,1990-11-29 and 1996-11-28
64532,Senior Engineer,Atilio Segond,1996-11-28 and 9999-01-01
64790,Engineer,Shin Piveteau,1985-04-19 and 1993-04-19
64790,Senior Engineer,Shin Piveteau,1993-04-19 and 9999-01-01
64828,Staff,Krister Pappas,1999-09-30 and 9999-01-01
64632,Senior Staff,Zsolt Brender,1996-02-21 and 9999-01-01
64984,Engineer,Eldridge Eldridge,1986-06-24 and 1991-06-24
64984,Senior Engineer,Eldridge Eldridge,1991-06-24 and 9999-01-01
65883,Senior Staff,Patricia Pepe,1996-04-18 and 9999-01-01
65171,Technique Leader,Jeane Tasistro,1994-07-06 and 9999-01-01
65539,Engineer,Aksel Picaronny,1991-01-27 and 1998-01-27
65539,Senior Engineer,Aksel Picaronny,1998-01-27 and 9999-01-01
65883,Staff,Patricia Pepe,1991-04-19 and 1996-04-18
66530,Staff,Dung Leaver,1998-04-04 and 9999-01-01
65998,Senior Staff,Mandell Alameldin,1996-04-08 and 9999-01-01
65998,Staff,Mandell Alameldin,1989-04-08 and 1996-04-08
66643,Engineer,Jianhao Tomescu,1996-08-26 and 9999-01-01
66382,Engineer,Domenico Candan,1997-07-13 and 9999-01-01
67934,Engineer,Aiman Gargeya,1985-03-07 and 1993-03-07
66702,Engineer,Deniz Thibadeau,1994-09-27 and 2000-09-26
66702,Senior Engineer,Deniz Thibadeau,2000-09-26 and 9999-01-01
66757,Staff,Yonghong Baig,1999-04-10 and 9999-01-01
66807,Engineer,Aiman Rosaz,1990-05-22 and 1999-05-22
66807,Senior Engineer,Aiman Rosaz,1999-05-22 and 9999-01-01
67320,Senior Staff,Sadok Lorys,1987-05-10 and 9999-01-01
67548,Staff,Fumitaka Roohalamini,1998-06-27 and 9999-01-01
67934,Senior Engineer,Aiman Gargeya,1993-03-07 and 9999-01-01
68416,Senior Engineer,Munenori Debuse,1990-11-08 and 9999-01-01
69052,Senior Staff,Shietung Shrader,1995-08-05 and 9999-01-01
68608,Engineer,Yucai Seghrouchni,1989-06-09 and 1994-06-09
68608,Senior Engineer,Yucai Seghrouchni,1994-06-09 and 9999-01-01
68633,Senior Engineer,Chinhyun Rassart,1993-07-29 and 9999-01-01
68648,Technique Leader,Jaques DiGiano,1992-04-01 and 9999-01-01
70469,Senior Staff,Tru Miyakawa,1998-09-03 and 9999-01-01
69219,Senior Staff,Shuky Redmiles,1994-07-06 and 9999-01-01
69867,Senior Staff,Miyeon Rothe,1997-04-08 and 9999-01-01
69867,Staff,Miyeon Rothe,1991-04-09 and 1997-04-08
69878,Engineer,Chinya Cooke,1997-01-29 and 9999-01-01
69936,Assistant Engineer,Lalit Unni,1998-12-06 and 9999-01-01
70469,Staff,Tru Miyakawa,1990-09-03 and 1998-09-03
70990,Senior Engineer,Arumugam Nitta,1990-03-23 and 9999-01-01
71066,Senior Staff,Domenick Basart,2001-01-04 and 9999-01-01
71066,Staff,Domenick Basart,1996-01-05 and 2001-01-04
71243,Engineer,Kinh Buchter,1986-03-29 and 1993-03-29
71141,Senior Staff,Sajjad Vitiello,1997-02-16 and 9999-01-01
71141,Staff,Sajjad Vitiello,1992-02-17 and 1997-02-16
71243,Senior Engineer,Kinh Buchter,1993-03-29 and 9999-01-01
71334,Engineer,Cathie Peck,1993-04-12 and 1998-04-12
71188,Senior Staff,Pranjal Schapiro,1993-12-14 and 9999-01-01
71188,Staff,Pranjal Schapiro,1986-12-14 and 1993-12-14
71334,Senior Engineer,Cathie Peck,1998-04-12 and 9999-01-01
72232,Engineer,Naraig Veldwijk,1989-07-10 and 1996-07-10
71685,Senior Engineer,Kristinn Olano,1989-10-03 and 9999-01-01
71710,Assistant Engineer,Hitomi Takanami,1997-12-15 and 9999-01-01
71745,Assistant Engineer,Adil Laventhal,1992-05-13 and 2001-05-13
71745,Engineer,Adil Laventhal,2001-05-13 and 9999-01-01
72190,Engineer,Sajjad Waeselynck,1999-09-13 and 9999-01-01
72194,Senior Engineer,Feiyu Siepmann,1998-10-01 and 9999-01-01
72232,Senior Engineer,Naraig Veldwijk,1996-07-10 and 9999-01-01
72918,Senior Staff,Takahira Szilard,1993-01-15 and 9999-01-01
72640,Engineer,Honglan Hutton,1993-10-04 and 1998-10-04
72640,Senior Engineer,Honglan Hutton,1998-10-04 and 9999-01-01
72918,Staff,Takahira Szilard,1988-01-16 and 1993-01-15
73233,Senior Engineer,Shigeo Merey,1985-07-30 and 9999-01-01
73743,Engineer,Anneke Bernardeschi,1999-11-01 and 9999-01-01
73076,Senior Engineer,Froduald Feldhoffer,1993-03-16 and 9999-01-01
73516,Engineer,Qingxiang Badache,1989-06-25 and 1996-06-25
73516,Senior Engineer,Qingxiang Badache,1996-06-25 and 9999-01-01
74344,Engineer,Hiroyasu Provine,1994-11-25 and 9999-01-01
74200,Senior Engineer,Holgard Weiland,1991-09-24 and 9999-01-01
74800,Assistant Engineer,Yuuichi Conde,1989-03-08 and 1994-03-08
74800,Engineer,Yuuichi Conde,1994-03-08 and 1999-03-08
74800,Senior Engineer,Yuuichi Conde,1999-03-08 and 9999-01-01
75703,Engineer,Kyoichi Erman,1996-07-25 and 2001-07-25
74668,Senior Staff,Masako Bonifati,1987-04-09 and 9999-01-01
75354,Engineer,Shuky Jakobus,1986-06-16 and 1993-06-16
75354,Senior Engineer,Shuky Jakobus,1993-06-16 and 9999-01-01
75703,Senior Engineer,Kyoichi Erman,2001-07-25 and 9999-01-01
76189,Engineer,Kolar Hinsberger,1986-10-20 and 1994-10-20
76189,Senior Engineer,Kolar Hinsberger,1994-10-20 and 9999-01-01
76201,Senior Engineer,Arif Preusig,1992-04-02 and 9999-01-01
76640,Engineer,Tristan Mitsuhashi,1994-07-13 and 2000-07-12
76640,Senior Engineer,Tristan Mitsuhashi,2000-07-12 and 9999-01-01
77303,Senior Staff,Xinglin Birge,2001-03-05 and 9999-01-01
77030,Technique Leader,Faiza Garnham,1986-03-02 and 9999-01-01
77303,Staff,Xinglin Birge,1992-03-05 and 2001-03-05
77815,Assistant Engineer,Ronghao Picaronny,1993-06-09 and 2002-06-09
77647,Technique Leader,Niranjan Schaaf,1989-11-05 and 9999-01-01
77815,Engineer,Ronghao Picaronny,2002-06-09 and 9999-01-01
78106,Senior Staff,Ashish Ratnaker,1986-11-10 and 9999-01-01
78363,Engineer,Susumu Fritzsche,1998-06-23 and 9999-01-01
79043,Technique Leader,Katsuo Hockney,1999-11-07 and 9999-01-01
78469,Staff,Leucio Cappelli,1997-08-22 and 9999-01-01
78871,Senior Engineer,Conor Ghandeharizadeh,1985-05-25 and 9999-01-01
79171,Senior Engineer,Guiseppe Ellozy,1991-01-12 and 9999-01-01
79606,Senior Engineer,Arnd Peir,1986-12-11 and 9999-01-01
79310,Senior Staff,Jeong Cunliffe,1996-10-27 and 9999-01-01
79763,Senior Staff,Sanjoy Barreiro,1996-04-09 and 9999-01-01
79763,Staff,Sanjoy Barreiro,1988-04-09 and 1996-04-09
80067,Senior Staff,Kazuhisa Weiland,1991-11-09 and 9999-01-01
80067,Staff,Kazuhisa Weiland,1985-11-09 and 1991-11-09
80203,Staff,Shakhar Baik,1993-12-01 and 9999-01-01
79895,Senior Staff,Fei Murtagh,1986-01-19 and 9999-01-01
80850,Engineer,Koldo Luit,1995-04-16 and 2001-04-15
80432,Senior Staff,Stella Figueira,1998-03-14 and 9999-01-01
80432,Staff,Stella Figueira,1990-03-14 and 1998-03-14
80731,Senior Staff,Shaowen Eldridge,1994-12-05 and 9999-01-01
80731,Staff,Shaowen Eldridge,1987-12-05 and 1994-12-05
80850,Senior Engineer,Koldo Luit,2001-04-15 and 9999-01-01
81105,Engineer,Jaewon Boissier,1992-05-24 and 1998-05-24
80889,Senior Engineer,Shigeo Linnainmaa,1985-07-30 and 9999-01-01
81105,Senior Engineer,Jaewon Boissier,1998-05-24 and 9999-01-01
81545,Technique Leader,Larisa Kornyak,1996-03-10 and 9999-01-01
80948,Engineer,Harjit Bardell,1991-05-24 and 1996-05-23
80948,Senior Engineer,Harjit Bardell,1996-05-23 and 9999-01-01
82069,Engineer,Yechezkel Perfilyeva,1994-11-03 and 2000-11-02
81644,Staff,Divine Ghandeharizadeh,1997-11-28 and 9999-01-01
82069,Senior Engineer,Yechezkel Perfilyeva,2000-11-02 and 9999-01-01
82098,Engineer,Poornachandra Wilharm,1991-04-20 and 1998-04-20
82098,Senior Engineer,Poornachandra Wilharm,1998-04-20 and 9999-01-01
82351,Senior Staff,Stevo Thambidurai,1989-10-27 and 9999-01-01
81995,Engineer,Sreekrishna Brender,1990-03-22 and 1996-03-21
81995,Senior Engineer,Sreekrishna Brender,1996-03-21 and 9999-01-01
83280,Senior Engineer,Francesca Ellozy,1999-08-08 and 9999-01-01
82511,Engineer,Uwe Koblick,1998-04-04 and 9999-01-01
82919,Engineer,Shigeu Claffy,1998-02-03 and 9999-01-01
82928,Engineer,Alselm Rikino,1990-11-16 and 1997-11-16
82928,Senior Engineer,Alselm Rikino,1997-11-16 and 9999-01-01
83289,Engineer,Shigeichiro Engelmann,1994-01-09 and 2000-01-09
83289,Senior Engineer,Shigeichiro Engelmann,2000-01-09 and 9999-01-01
83714,Engineer,Ohad Kilgore,1990-07-01 and 1997-07-01
83509,Engineer,Breannda Collavizza,1989-10-12 and 1994-10-12
83509,Senior Engineer,Breannda Collavizza,1994-10-12 and 9999-01-01
83714,Senior Engineer,Ohad Kilgore,1997-07-01 and 9999-01-01
83805,Senior Engineer,Manohar Harllee,1987-03-11 and 9999-01-01
83544,Senior Staff,Leaf Baak,2001-09-05 and 9999-01-01
83544,Staff,Leaf Baak,1994-09-05 and 2001-09-05
84029,Staff,Babette Eugenio,1997-09-21 and 9999-01-01
83941,Senior Staff,Zsolt Hagimont,2001-10-08 and 9999-01-01
83941,Staff,Zsolt Hagimont,1996-10-08 and 2001-10-08
84315,Assistant Engineer,Kristina Baumann,1996-09-26 and 9999-01-01
84179,Senior Engineer,Shuichi Nanard,1989-03-14 and 9999-01-01
84236,Senior Staff,Eberhardt Barriga,1993-06-03 and 9999-01-01
84236,Staff,Eberhardt Barriga,1987-06-04 and 1993-06-03
84451,Senior Engineer,Shiv Aumann,1998-06-14 and 9999-01-01
84840,Staff,Sverrir Neimat,1996-11-03 and 9999-01-01
84508,Engineer,Tommaso Vidya,1998-05-02 and 9999-01-01
85288,Engineer,Younwoo Luders,1995-03-31 and 2002-03-31
84922,Engineer,Parke Unno,1996-07-01 and 9999-01-01
84942,Technique Leader,Shin Fujisaki,1988-02-23 and 9999-01-01
85288,Senior Engineer,Younwoo Luders,2002-03-31 and 9999-01-01
85414,Staff,Chiradeep Callaway,1999-07-30 and 9999-01-01
85216,Senior Staff,Ferdinand Rosiles,1997-07-08 and 9999-01-01
85702,Engineer,Udi Merks,1997-08-15 and 9999-01-01
85445,Staff,Yongdong Pollock,1998-03-17 and 9999-01-01
85874,Senior Staff,Pasqua Taubman,1986-06-23 and 9999-01-01
86213,Senior Staff,Kristine Clemencon,1996-04-21 and 9999-01-01
86213,Staff,Kristine Clemencon,1990-04-22 and 1996-04-21
86422,Senior Staff,Jaewon Thummel,1992-09-14 and 9999-01-01
86354,Senior Engineer,Ronghao Segond,1993-09-13 and 9999-01-01
86422,Staff,Jaewon Thummel,1985-09-14 and 1992-09-14
86546,Engineer,Oldrich Woycyznski,1985-05-15 and 1990-05-15
86546,Senior Engineer,Oldrich Woycyznski,1990-05-15 and 9999-01-01
87129,Staff,Keung Neiman,1997-04-13 and 9999-01-01
86655,Engineer,Zhenhua Lorys,1995-08-21 and 9999-01-01
86672,Staff,JoAnne Anido,1995-09-15 and 9999-01-01
88103,Senior Staff,Goo Bresenham,1999-01-31 and 9999-01-01
87353,Senior Engineer,Quingbo Coombs,1999-01-17 and 9999-01-01
87714,Assistant Engineer,Khun Janetzko,1989-09-13 and 1998-09-13
87714,Engineer,Khun Janetzko,1998-09-13 and 9999-01-01
87729,Senior Staff,Yongmin Roccetti,1991-12-10 and 9999-01-01
87729,Staff,Yongmin Roccetti,1986-12-10 and 1991-12-10
87783,Senior Engineer,Conor Thorensen,1988-02-24 and 9999-01-01
88411,Engineer,Lena Cannane,2000-01-28 and 9999-01-01
88422,Technique Leader,Jungsoon Birsak,1985-04-03 and 9999-01-01
89048,Engineer,Otmar Birjandi,1985-03-23 and 1992-03-23
88647,Engineer,Vasiliy Ratnaker,1995-08-09 and 9999-01-01
88958,Senior Staff,Vojin Coombs,2002-07-23 and 9999-01-01
88958,Staff,Vojin Coombs,1995-07-23 and 2002-07-23
89048,Senior Engineer,Otmar Birjandi,1992-03-23 and 9999-01-01
88965,Engineer,Mang Hedayat,1995-05-22 and 9999-01-01
89090,Senior Staff,Tetsushi Theuretzbacher,1995-02-01 and 9999-01-01
89090,Staff,Tetsushi Theuretzbacher,1990-02-01 and 1995-02-01
89346,Engineer,Mansur Comyn,1999-08-31 and 9999-01-01
89161,Senior Staff,Conal Yetto,1999-01-12 and 9999-01-01
89161,Staff,Conal Yetto,1991-01-12 and 1999-01-12
89207,Senior Staff,Along Erol,1999-10-17 and 9999-01-01
89207,Staff,Along Erol,1992-10-16 and 1999-10-17
89590,Senior Staff,Guther Rothenberg,2000-08-07 and 9999-01-01
89590,Staff,Guther Rothenberg,1991-08-08 and 2000-08-07
89664,Staff,Pranjal Rossi,1998-07-07 and 9999-01-01
89680,Engineer,Aiman Mawatari,1988-05-01 and 1997-05-01
89680,Senior Engineer,Aiman Mawatari,1997-05-01 and 9999-01-01
89922,Engineer,Alexius Ibel,1988-04-24 and 1993-04-24
89806,Engineer,Xiadong Shinomoto,1997-05-24 and 2002-05-24
89806,Senior Engineer,Xiadong Shinomoto,2002-05-24 and 9999-01-01
89922,Senior Engineer,Alexius Ibel,1993-04-24 and 9999-01-01
89941,Senior Staff,Arnould Weedman,1989-07-28 and 9999-01-01
90077,Assistant Engineer,Vivian Guerreiro,1991-07-08 and 1998-07-08
90077,Engineer,Vivian Guerreiro,1998-07-08 and 9999-01-01
90084,Engineer,Renny Bale,1989-11-22 and 1996-11-22
90084,Senior Engineer,Renny Bale,1996-11-22 and 9999-01-01
90292,Engineer,Koichi Assaf,1990-05-26 and 1998-05-26
90211,Engineer,Bader Denis,1997-10-06 and 9999-01-01
90292,Senior Engineer,Koichi Assaf,1998-05-26 and 9999-01-01
90614,Assistant Engineer,Yonghoan Trogemann,1988-09-23 and 1997-09-23
90518,Senior Staff,Fumiko Chepyzhov,1997-01-27 and 9999-01-01
90518,Staff,Fumiko Chepyzhov,1988-01-28 and 1997-01-27
90614,Engineer,Yonghoan Trogemann,1997-09-23 and 9999-01-01
91172,Senior Staff,Kazuhisa Melter,1993-07-15 and 9999-01-01
90692,Senior Staff,Rajmohan DasSarma,1990-09-14 and 9999-01-01
90692,Staff,Rajmohan DasSarma,1985-09-14 and 1990-09-14
91172,Staff,Kazuhisa Melter,1987-07-16 and 1993-07-15
91182,Engineer,Lucien Schwartzburd,1988-08-25 and 1994-08-25
91182,Senior Engineer,Lucien Schwartzburd,1994-08-25 and 9999-01-01
91229,Engineer,Yahiko Hebden,1996-10-03 and 2001-10-03
91256,Staff,Gunilla Milicic,1998-01-09 and 9999-01-01
91229,Senior Engineer,Yahiko Hebden,2001-10-03 and 9999-01-01
91415,Senior Staff,Jamaludin Nilsson,1994-01-15 and 9999-01-01
91333,Staff,Lobel Stafford,1998-11-29 and 9999-01-01
91415,Staff,Jamaludin Nilsson,1987-01-15 and 1994-01-15
92438,Engineer,Aria Kilgore,1989-02-27 and 1996-02-28
91648,Senior Staff,Dmitry Msuda,1997-10-22 and 9999-01-01
91648,Staff,Dmitry Msuda,1988-10-22 and 1997-10-22
92438,Senior Engineer,Aria Kilgore,1996-02-28 and 9999-01-01
92454,Engineer,Visit McFarlan,1987-10-22 and 1996-10-21
92454,Senior Engineer,Visit McFarlan,1996-10-21 and 9999-01-01
92577,Assistant Engineer,Zhanqiu Farrow,1999-01-10 and 9999-01-01
92685,Senior Staff,Mang Atchley,1995-06-07 and 9999-01-01
92598,Assistant Engineer,Ranga Merro,1996-05-11 and 9999-01-01
93040,Senior Engineer,Jaques Kabayashi,1992-03-13 and 9999-01-01
92841,Senior Staff,Claude Candan,1993-08-04 and 9999-01-01
92846,Senior Staff,Anyuan Kropatsch,1993-09-05 and 9999-01-01
92846,Staff,Anyuan Kropatsch,1986-09-05 and 1993-09-05
92920,Engineer,Huei Hutter,1993-01-28 and 2000-01-29
92920,Senior Engineer,Huei Hutter,2000-01-29 and 9999-01-01
93278,Engineer,Magdalena Penn,1997-01-04 and 2002-01-04
93220,Senior Engineer,Richara Walston,1996-08-27 and 9999-01-01
93278,Senior Engineer,Magdalena Penn,2002-01-04 and 9999-01-01
93549,Senior Staff,Arie Coullard,1998-04-15 and 9999-01-01
93549,Staff,Arie Coullard,1991-04-15 and 1998-04-15
93600,Technique Leader,Kristina Neimat,1988-04-18 and 9999-01-01
94331,Technique Leader,Ramzi Cronau,1999-09-03 and 9999-01-01
94761,Engineer,Hitofumi Zaccaria,1988-11-22 and 1997-11-22
94416,Senior Staff,Aran Cesareni,1990-02-10 and 9999-01-01
94761,Senior Engineer,Hitofumi Zaccaria,1997-11-22 and 9999-01-01
95181,Staff,Yishai Cappelli,1997-01-30 and 9999-01-01
94944,Engineer,Heping Matheson,1988-06-24 and 1997-06-24
94944,Senior Engineer,Heping Matheson,1997-06-24 and 9999-01-01
95286,Engineer,Kristin Guerreiro,1989-08-23 and 1997-08-23
95286,Senior Engineer,Kristin Guerreiro,1997-08-23 and 9999-01-01
95314,Senior Staff,Rasiah Koblick,1999-08-21 and 9999-01-01
95406,Engineer,Alair Lyonns,1997-07-12 and 9999-01-01
95416,Engineer,Gianluca Ramaiah,1993-11-29 and 9999-01-01
95314,Staff,Rasiah Koblick,1991-08-21 and 1999-08-21
95920,Senior Staff,Nobuyoshi Hegner,2001-09-07 and 9999-01-01
95509,Engineer,Kristinn Loncour,1995-02-08 and 9999-01-01
95920,Staff,Nobuyoshi Hegner,1994-09-07 and 2001-09-07
96767,Engineer,Arumugam Vecchio,1985-08-14 and 1992-08-14
96571,Senior Engineer,Kokou Garrabrants,1997-11-05 and 9999-01-01
96579,Engineer,Mohan Tasistro,1996-02-10 and 9999-01-01
96767,Senior Engineer,Arumugam Vecchio,1992-08-14 and 9999-01-01
97623,Senior Staff,Haldon Janetzko,1996-09-10 and 9999-01-01
97018,Engineer,Jeanna Chinen,1989-01-01 and 1994-01-01
97018,Senior Engineer,Jeanna Chinen,1994-01-01 and 9999-01-01
97623,Staff,Haldon Janetzko,1990-09-11 and 1996-09-10
98639,Staff,Florina Assaf,1996-05-18 and 9999-01-01
97661,Senior Staff,Avishai Hegner,2002-05-08 and 9999-01-01
97661,Staff,Avishai Hegner,1993-05-08 and 2002-05-08
98288,Senior Staff,Sumali Huttel,1997-09-12 and 9999-01-01
98288,Staff,Sumali Huttel,1989-09-12 and 1997-09-12
98306,Senior Engineer,Ziya Kadhim,1995-11-02 and 9999-01-01
99373,Senior Staff,Xiaobin Christianini,1991-12-25 and 9999-01-01
99057,Staff,Shugo Reeken,1999-06-21 and 9999-01-01
99373,Staff,Xiaobin Christianini,1985-12-25 and 1991-12-25
99377,Senior Engineer,Carrsten Francisci,1991-06-16 and 9999-01-01
99654,Senior Staff,Mahendra Motley,1992-09-28 and 9999-01-01
99654,Staff,Mahendra Motley,1985-09-28 and 1992-09-28
100865,Engineer,Hisao Peral,1990-10-03 and 1998-10-03
99590,Staff,Dhritiman Anily,1998-12-16 and 9999-01-01
100865,Senior Engineer,Hisao Peral,1998-10-03 and 9999-01-01
101487,Senior Staff,Abdelaziz Sury,1999-01-31 and 9999-01-01
100916,Engineer,Heejo Aamodt,1992-04-22 and 2001-04-22
100916,Senior Engineer,Heejo Aamodt,2001-04-22 and 9999-01-01
101487,Staff,Abdelaziz Sury,1991-01-31 and 1999-01-31
101902,Senior Staff,Mantis Millington,1997-03-17 and 9999-01-01
101647,Senior Staff,Mori Homond,2000-05-09 and 9999-01-01
101647,Staff,Mori Homond,1994-05-10 and 2000-05-09
101902,Staff,Mantis Millington,1991-03-18 and 1997-03-17
102620,Engineer,Adin Templeman,1997-12-10 and 9999-01-01
103196,Senior Staff,Djenana Albarhamtoshy,1993-07-16 and 9999-01-01
103196,Staff,Djenana Albarhamtoshy,1988-07-16 and 1993-07-16
103310,Senior Staff,Visit Swen,2000-10-01 and 9999-01-01
103310,Staff,Visit Swen,1995-10-02 and 2000-10-01
103316,Engineer,Susanne Peternell,1994-07-27 and 1999-07-27
103342,Engineer,Beshir Hellwagner,1998-02-03 and 9999-01-01
103316,Senior Engineer,Susanne Peternell,1999-07-27 and 9999-01-01
103756,Assistant Engineer,Heping Halloran,1992-04-08 and 2001-04-08
103756,Engineer,Heping Halloran,2001-04-08 and 9999-01-01
104133,Senior Staff,Pranjal Zyda,1998-07-03 and 9999-01-01
104133,Staff,Pranjal Zyda,1991-07-03 and 1998-07-03
104988,Engineer,Parviz Litzler,1992-08-08 and 1999-08-09
104845,Senior Staff,Werner Lodder,1998-06-17 and 9999-01-01
104845,Staff,Werner Lodder,1992-06-17 and 1998-06-17
104988,Senior Engineer,Parviz Litzler,1999-08-09 and 9999-01-01
105520,Senior Staff,Haldun Lienhardt,1987-01-29 and 9999-01-01
105342,Technique Leader,Kwun Reeker,1999-07-29 and 9999-01-01
105356,Engineer,Diederik Matzov,1988-05-12 and 1996-05-12
105356,Senior Engineer,Diederik Matzov,1996-05-12 and 9999-01-01
105731,Assistant Engineer,Sachem Cromarty,1990-08-20 and 1996-08-19
105432,Engineer,Mohamadou Stafford,1995-09-12 and 2000-09-11
105432,Senior Engineer,Mohamadou Stafford,2000-09-11 and 9999-01-01
105731,Engineer,Sachem Cromarty,1996-08-19 and 9999-01-01
106096,Engineer,Naftali Schurmann,1992-12-02 and 1999-12-03
106096,Senior Engineer,Naftali Schurmann,1999-12-03 and 9999-01-01
106695,Senior Staff,Lijie Garrabrants,1990-10-02 and 9999-01-01
106242,Senior Staff,Nevio Thisen,1994-03-25 and 9999-01-01
106242,Staff,Nevio Thisen,1988-03-25 and 1994-03-25
106695,Staff,Lijie Garrabrants,1985-10-02 and 1990-10-02
106710,Senior Staff,Babette Anandan,1993-11-22 and 9999-01-01
106710,Staff,Babette Anandan,1986-11-22 and 1993-11-22
107486,Senior Engineer,Siamak Luiz,1987-02-11 and 9999-01-01
107737,Senior Engineer,Fabrizio Chleq,1999-07-31 and 9999-01-01
107792,Senior Staff,Shahab Crooks,2001-03-18 and 9999-01-01
107792,Staff,Shahab Crooks,1992-03-18 and 2001-03-18
107828,Senior Staff,Ramya Walston,1995-02-03 and 9999-01-01
107828,Staff,Ramya Walston,1989-02-03 and 1995-02-03
108198,Senior Staff,Randi Samarati,1999-10-21 and 9999-01-01
108091,Senior Staff,Hisao Ghemri,1990-11-14 and 9999-01-01
108091,Staff,Hisao Ghemri,1985-11-14 and 1990-11-14
108198,Staff,Randi Samarati,1992-10-20 and 1999-10-21
109062,Senior Engineer,Jamaludin Kandlur,1992-06-19 and 9999-01-01
108316,Senior Engineer,Shai Stellhorn,1992-05-21 and 9999-01-01
108988,Senior Staff,Oksana Baek,1997-07-20 and 9999-01-01
108988,Staff,Oksana Baek,1989-07-20 and 1997-07-20
109598,Senior Staff,Stamatina Auyong,1988-07-05 and 9999-01-01
109211,Engineer,Gor Delgrande,1995-11-07 and 2001-11-06
109211,Senior Engineer,Gor Delgrande,2001-11-06 and 9999-01-01
109252,Technique Leader,Moty Winter,1991-04-28 and 9999-01-01
109278,Senior Staff,Bangqing Schach,1996-03-22 and 9999-01-01
109278,Staff,Bangqing Schach,1988-03-22 and 1996-03-22
109552,Assistant Engineer,Menkae Etalle,1997-05-21 and 2002-05-21
109552,Engineer,Menkae Etalle,2002-05-21 and 9999-01-01
109620,Senior Staff,Mani Cannata,1995-06-21 and 9999-01-01
109741,Senior Engineer,Hatem Fadgyas,1991-11-13 and 9999-01-01
109620,Staff,Mani Cannata,1989-06-21 and 1995-06-21
109703,Engineer,Arco Walston,1999-08-16 and 9999-01-01
200267,Senior Staff,Chuanti Luff,2000-09-20 and 9999-01-01
109953,Senior Staff,Godehard Chorvat,1996-04-10 and 9999-01-01
109953,Staff,Godehard Chorvat,1988-04-10 and 1996-04-10
200312,Senior Engineer,Akemi Fujisaki,1998-06-25 and 9999-01-01
200267,Staff,Chuanti Luff,1994-09-21 and 2000-09-20
200735,Senior Staff,Dinah Denos,2001-09-21 and 9999-01-01
200363,Engineer,Kirk Quaggetto,1987-06-30 and 1995-06-30
200363,Senior Engineer,Kirk Quaggetto,1995-06-30 and 9999-01-01
200735,Staff,Dinah Denos,1992-09-21 and 2001-09-21
200789,Senior Staff,Susumu Camurati,1997-12-14 and 9999-01-01
200789,Staff,Susumu Camurati,1991-12-15 and 1997-12-14
201915,Engineer,Sudharsan DeMori,1992-03-30 and 1997-03-30
201229,Staff,Alejandra Khasidashvili,1994-07-30 and 9999-01-01
201708,Senior Staff,Anneli Perl,2000-09-08 and 9999-01-01
201708,Staff,Anneli Perl,1992-09-08 and 2000-09-08
201709,Senior Staff,Fan Kakkad,1993-02-24 and 9999-01-01
201709,Staff,Fan Kakkad,1988-02-25 and 1993-02-24
201915,Senior Engineer,Sudharsan DeMori,1997-03-30 and 9999-01-01
202291,Engineer,Ortrun Schmiedel,1997-07-18 and 9999-01-01
201739,Assistant Engineer,Genta Terekhov,1998-07-21 and 9999-01-01
201801,Engineer,Waiman Genin,1988-10-30 and 1995-10-30
201801,Senior Engineer,Waiman Genin,1995-10-30 and 9999-01-01
202552,Engineer,Morris Saoudi,1991-11-22 and 1998-11-22
202403,Engineer,Gully Perko,1999-07-07 and 9999-01-01
202414,Senior Staff,Zvonko Murthy,1992-01-07 and 9999-01-01
202552,Senior Engineer,Morris Saoudi,1998-11-22 and 9999-01-01
202826,Engineer,Kerhong Matzke,1986-11-14 and 1993-11-14
202826,Senior Engineer,Kerhong Matzke,1993-11-14 and 9999-01-01
202882,Senior Engineer,Isaac Koshino,1995-09-28 and 9999-01-01
202950,Senior Staff,Giordano Pietrzykowski,1987-03-26 and 9999-01-01
203599,Technique Leader,Ewing DiGiano,2000-02-01 and 9999-01-01
203720,Senior Staff,Sasan Thimonier,1996-08-21 and 9999-01-01
203474,Senior Staff,Hugh Jonsson,1997-07-05 and 9999-01-01
203474,Staff,Hugh Jonsson,1991-07-06 and 1997-07-05
203495,Technique Leader,Zongyan Gips,1997-05-31 and 9999-01-01
204425,Senior Engineer,Gretta Huttel,1990-10-08 and 9999-01-01
203946,Senior Staff,Yefim Marwedel,1999-03-30 and 9999-01-01
203946,Staff,Yefim Marwedel,1993-03-30 and 1999-03-30
204117,Staff,Jessie Nooteboom,1999-08-13 and 9999-01-01
204133,Senior Staff,Susuma Bergere,1996-02-25 and 9999-01-01
