emp_no,fullname,from_date,salary,title
91913,Alain Hofmeyr,1997-07-03,40000,Senior Engineer
91927,Yongqiao Valtorta,1994-02-06,64389,Senior Staff
91932,Zhenhua Crooks,1993-05-15,40000,Senior Engineer
91933,Alassane Radivojevic,1996-04-26,42252,Senior Engineer
91947,Bikash Slaats,2001-09-29,40000,Senior Engineer
91953,Nirmal Luks,1991-05-11,64003,Senior Staff
91955,Mantis Mamelak,1997-11-11,85723,Senior Staff
91960,Peternela Decleir,1997-08-05,89751,Staff
91972,Moie Woycyznski,1995-03-19,62787,Senior Engineer
91976,Sajjan Baaz,1997-08-26,41182,Engineer
91977,Kinh Reutenauer,2001-09-23,40000,Senior Engineer
91979,Franziska Nergos,1998-01-23,40000,Senior Staff
91982,Masami Zschoche,1998-05-17,60697,Assistant Engineer
91993,Bernd Camurati,1995-04-29,40000,Senior Engineer
91996,Shmuel Cronan,1994-02-21,49107,Senior Engineer
91997,Pranas Kaminger,2001-03-13,55832,Senior Engineer
92003,Martial Matheson,1996-05-06,47478,Senior Engineer
92007,Arco Dymetman,1998-01-19,40000,Engineer
92014,Keiichiro dAstous,1997-05-12,53464,Senior Engineer
92015,Xiong Olivero,1995-01-17,40000,Staff
92016,Uriel Vendrig,2001-01-13,61192,Senior Engineer
92019,Yurij Nanard,1997-12-02,78689,Senior Staff
92020,Siddarth Berztiss,1994-07-29,41695,Senior Engineer
92025,Sadok Bharadwaj,1992-02-04,40000,Senior Engineer
92027,Georg Adachi,1994-07-31,40000,Senior Engineer
92030,Vitaly Zobel,1999-11-15,89090,Staff
92042,Remmert Lupu,2001-07-11,40000,Senior Engineer
92043,Chriss Lortz,1997-08-24,59307,Senior Engineer
92053,Uri Gonthier,1998-09-22,79053,Engineer
92054,Gonzalo Cooley,1986-09-11,65403,Technique Leader
92063,Deniz Olivero,1996-12-01,52172,Senior Staff
92086,Weiru Ariola,1990-06-12,62578,Senior Engineer
92089,Youjian Fiutem,1998-12-28,44320,Engineer
92090,Felicidad Snyers,1997-03-09,65245,Staff
92092,Sariel Cummings,1994-11-15,60388,Senior Engineer
92093,Ulises Diderrich,1993-02-28,72076,Senior Engineer
92095,Ekawit Pargaonkar,1994-08-04,54158,Senior Engineer
92099,Idoia Muchinsky,1994-08-07,40000,Senior Engineer
92111,Sergi Brlek,1997-02-18,40000,Senior Engineer
92114,Theron Bierbaum,1997-05-17,59120,Staff
92117,Djelloul Hammerschmidt,2001-10-13,40239,Senior Engineer
92119,Jamaludin Minakawa,1994-07-02,62128,Senior Staff
92121,Mototsugu Kakkad,1997-06-27,53224,Senior Staff
92125,Toshimi Pettey,1989-07-13,47537,Senior Staff
92133,Tran Sommer,1994-03-23,58003,Senior Staff
92136,Isaac Kamber,1996-02-04,48941,Senior Engineer
92138,Feipei Armand,1998-04-14,64246,Staff
92140,Heping Khasidashvili,1988-09-16,41628,Senior Engineer
92144,Ymte Rosar,1987-08-12,60310,Senior Staff
92145,Marl Schueller,1996-11-14,86009,Staff
92151,Erzsebet Unno,2001-06-01,40000,Senior Engineer
92154,Luerbio Pleszkun,2000-09-22,58636,Senior Staff
92157,Ioana Matzel,1992-08-04,72728,Senior Staff
92176,Adib Pesch,1999-07-17,40000,Technique Leader
92185,Sarita Cannane,1993-11-06,68740,Senior Staff
92186,Golgen Kalsbeek,1999-05-08,40000,Staff
92191,Conal Ossenbruggen,1999-11-30,40167,Staff
92195,Gila Rosch,1991-04-28,42325,Senior Engineer
92203,Alexius Crouzet,1999-08-17,40000,Senior Engineer
92206,Gino Zeleznik,1998-06-05,40000,Senior Staff
92209,Maria Comyn,1996-03-17,40000,Senior Staff
92210,Kazuhito Assaf,2000-03-02,40000,Engineer
92215,Sreenivas Gaughan,1999-12-19,40000,Senior Staff
92218,Along Ritcey,1990-01-21,48314,Senior Engineer
92221,Moie Bednarek,2001-05-24,40000,Senior Staff
92222,Mong Tyugu,1995-11-25,56165,Staff
92225,Make Versino,1995-06-23,79752,Staff
92231,Mana Rikino,1993-11-29,76495,Senior Staff
92235,Leni Bauknecht,1993-03-01,40000,Senior Staff
92237,Yakkov Duclos,1995-10-10,40000,Engineer
92241,Zeydy Oaver,1995-02-18,51171,Senior Staff
92245,Marlo Hiltgen,1997-11-09,69136,Senior Staff
92248,Alejandro Liesche,1998-03-26,43279,Senior Engineer
92251,Jianhao Furudate,1995-07-13,64631,Engineer
92253,Hailing Schwartzburd,1998-12-02,94226,Senior Staff
92259,Moty Ashish,1997-01-05,66032,Engineer
92260,Masato Sidou,1996-09-25,40000,Staff
92262,Danae Imataki,1992-08-12,46407,Technique Leader
92263,Takahiro Spataro,1994-05-06,42132,Senior Staff
92264,Basim Jansen,1999-09-21,56407,Senior Engineer
92270,Uri Krzyzanowski,1997-10-26,40000,Engineer
92285,Mart Benaini,1997-08-08,61890,Engineer
92293,Frazer Cardazo,1996-09-11,40000,Senior Engineer
92297,Becky Gomatam,1999-05-08,55657,Engineer
92302,Cullen Lieberherr,1997-09-29,73948,Senior Staff
92305,Srinidhi Nooteboom,1993-11-14,58467,Senior Engineer
92313,Xudong Setia,1994-10-23,92546,Senior Staff
92316,Mokhtar Carrere,1997-02-14,63404,Senior Staff
92322,Jolita Grospietsch,1991-09-18,40000,Senior Staff
92323,Florina Azuma,1999-12-27,67140,Staff
92324,Douadi Poupard,1998-10-27,40000,Senior Staff
92338,Fun Verspoor,1995-01-25,40000,Senior Engineer
92340,Berhard Nitsch,1993-11-15,45547,Senior Engineer
92341,Rajmohan Benner,1998-06-09,55366,Technique Leader
92344,Paloma Hanabata,1988-12-19,40000,Senior Engineer
92346,Adam Snyers,1997-05-31,72706,Staff
92349,Conrado Ventosa,1994-11-23,40000,Engineer
92354,Chaosheng Lammel,1998-07-19,41560,Staff
92360,Licheng Kropatsch,2001-01-29,41321,Senior Staff
92369,Venkatesan Kopetz,1996-06-24,53632,Engineer
92373,Angus Lupu,1994-04-14,40000,Senior Engineer
92385,Nagui Armand,1995-08-06,44386,Senior Staff
92391,Sandeepan Zallocco,1999-08-10,67261,Senior Engineer
92392,Gennadi Burnard,1998-08-28,43158,Staff
92396,Baziley Couchot,1998-11-01,57270,Staff
92397,Gregory Coullard,1995-07-19,40000,Senior Engineer
92412,Ger Lindenbaum,1998-01-21,66793,Staff
92414,Charlene Selvestrel,1995-02-24,49941,Technique Leader
92415,Zorica Lemarechal,1991-12-30,60129,Senior Staff
92416,Genevieve Oskamp,1999-12-03,76482,Engineer
92418,Kaijung Luiz,1995-09-23,52279,Engineer
92419,Dzung Kuzuoka,2000-08-21,71081,Senior Engineer
92422,Baoqiu Comte,1995-06-15,55553,Staff
92429,Mariusz Yurov,1995-04-11,40000,Senior Engineer
92441,Shugo Bennet,1992-05-17,53324,Senior Staff
92442,Lenore Birdsall,1991-03-12,48790,Senior Engineer
92446,Mariangiola Schach,1998-07-17,62296,Staff
92451,Evgueni Merli,1996-03-20,40000,Staff
92459,Becky Serdy,1996-04-11,40000,Senior Engineer
92460,Mamdouh Joslin,1996-08-15,80421,Staff
92466,Rajmohan Varman,1992-09-20,83883,Senior Staff
92470,Giao Reeken,2002-07-28,40000,Senior Engineer
92475,Miyeon Turnbull,1999-12-25,43440,Senior Staff
92479,Jinpo Leuchs,2000-12-14,40000,Senior Engineer
92483,Boaz Lueh,1989-03-09,75911,Senior Staff
92485,Hein Turnbull,1999-04-12,55068,Senior Staff
92489,Bowen Murthy,1996-09-24,40000,Senior Staff
92492,Yannis Chaudhuri,1994-11-06,63883,Senior Engineer
92493,Constantijn Merro,1997-09-30,40000,Senior Engineer
92499,Valery Jording,2000-01-16,49411,Staff
92513,Honesty Asrin,1999-02-18,55687,Senior Engineer
92516,Chiranjit Antonakopoulos,2001-03-31,40000,Senior Engineer
92517,Mamdouh Suessmith,1994-04-04,40000,Assistant Engineer
92524,Gou Peltason,1992-07-09,40000,Senior Engineer
92531,Wuxu Hockney,1996-06-16,40716,Staff
92533,Martine Eastman,1991-09-07,40000,Senior Staff
92535,Sarita Pero,1995-06-10,64712,Senior Staff
92536,Nitsan Rouquie,1990-08-02,59854,Senior Staff
92537,Abdulla Nitsch,1993-10-31,53275,Senior Staff
92538,Kyoichi Orlowska,1990-09-16,74313,Senior Staff
92553,Phule Zolotykh,1994-07-05,61526,Senior Staff
92559,Georg Muchinsky,1999-01-15,57184,Senior Staff
92560,Khalid Lundstrom,1999-03-06,40000,Senior Engineer
92563,Kensyu Ranze,1987-06-09,49734,Senior Engineer
92571,Bilhanan Parveen,1999-07-03,83202,Staff
92582,Gou Farris,1996-04-25,40000,Staff
92584,Hidekazu Denti,2000-05-13,45611,Senior Staff
92592,Kirk Lorho,1993-06-13,76317,Senior Staff
92593,Feipei Kisuki,1996-09-17,42353,Senior Engineer
92594,Renny Herath,1997-06-06,40925,Senior Engineer
92601,Moriyoshi Ravishankar,1998-07-15,69379,Senior Engineer
92603,Charlene Trelles,1998-11-23,50501,Engineer
92614,Armond Tsukune,1998-08-31,44956,Assistant Engineer
92620,Guenter Danley,1998-12-06,40000,Staff
92623,Pradeep Sethi,1999-10-02,64080,Technique Leader
92627,Xiaoshan Yurek,1997-01-28,60034,Senior Staff
92630,Arunachalam Erie,1996-02-01,76786,Senior Staff
92633,Adit Molberg,1998-08-11,52501,Senior Engineer
92637,Adhemar Denos,1999-03-26,57104,Senior Engineer
92644,Hideo Baig,1990-05-10,40000,Senior Engineer
92646,Xianlong Fadgyas,1994-02-16,66314,Senior Engineer
92650,Kiyotoshi Biron,2001-04-11,41411,Senior Engineer
92652,Pramod Mansanne,1998-04-01,40000,Engineer
92660,Kenton Hanratty,1999-08-19,40000,Senior Staff
92664,Kellyn Kuhnemann,2002-05-27,52550,Senior Staff
92667,Aloke Takanami,2000-05-28,75466,Senior Engineer
92669,Kazuyasu Yeung,1995-03-25,45837,Engineer
92674,Irene Rettelbach,2001-06-05,40000,Senior Engineer
92678,Zissis Mullainathan,1994-06-03,65301,Senior Engineer
92683,Kwan Bouloucos,1996-11-19,40000,Senior Engineer
92687,Zhenbing Impagliazzo,1997-12-09,84490,Staff
92688,Mitsuyuki Schahn,1999-06-04,79400,Technique Leader
92690,Jackson Yurov,1998-03-09,52299,Engineer
92694,Navid Tetzlaff,2000-10-06,47560,Senior Engineer
92696,King Rouquie,1991-03-12,46316,Senior Engineer
92704,Khalil Atrawala,2000-01-08,40000,Engineer
92709,Lansing Billingsley,1997-12-24,40000,Staff
92711,Nadjib Schmittgen,1997-01-17,40000,Assistant Engineer
92718,Sibyl Marciano,1999-05-16,57471,Engineer
92719,Hairong Ibel,1996-08-04,40000,Senior Staff
92720,Sungwon Bondorf,1995-06-08,59377,Senior Engineer
92722,Pranas Poupard,1997-09-04,54279,Senior Staff
92730,Junichi Ruemmler,2000-07-12,67610,Senior Staff
92737,Ingmar Fontan,1994-10-16,58855,Engineer
92740,Udaiprakash Kamber,1996-06-10,47611,Engineer
92747,Uno Suri,2002-01-07,68774,Senior Staff
92749,Chiradeep Demir,1999-09-02,72556,Staff
92751,Ibibia Monkewich,1995-06-15,42662,Senior Engineer
92752,Uzi Sadowski,1997-06-16,40000,Engineer
92755,Susumu Fontet,1994-09-03,62224,Senior Engineer
92757,Valery Waymire,1995-10-18,59745,Technique Leader
92758,Georgi Francisci,2001-03-26,42272,Engineer
92761,Berni Verspoor,1998-03-04,48369,Engineer
92766,Candida Benzmuller,1998-12-28,69120,Staff
92770,Sudharsan Braunmuhl,2000-11-21,46554,Senior Engineer
92771,Renee Danley,1993-08-19,46522,Staff
92776,Elzbieta Schapiro,1988-05-13,74897,Senior Staff
92785,Lunjin Underwood,1995-12-21,40000,Senior Engineer
92796,Susumu Tagansky,1997-08-17,43935,Technique Leader
92799,Reinhold Caine,2000-10-13,40000,Senior Staff
92801,Marco Vrecion,1998-09-21,46452,Engineer
92802,Alair Luks,1993-06-05,76564,Senior Staff
92803,Gal Senzako,1996-10-27,72408,Senior Staff
92808,Hinrich Junet,1998-02-16,40000,Senior Staff
92811,Tetsurou Lanzelotte,1997-04-24,83714,Staff
92816,Bikash Veeraraghavan,1997-03-15,67759,Senior Staff
92817,Yucai Bade,1997-08-05,40000,Senior Staff
92819,Yaghout Munck,1999-10-21,40000,Senior Engineer
92821,Ute Journel,1997-01-21,47254,Senior Staff
92822,IEEE Masaki,1999-01-31,57702,Senior Engineer
92828,Nimmagadda Yetim,2001-02-19,54407,Senior Staff
92829,Nechama Kalefeld,1994-09-27,50087,Senior Engineer
92833,Jeanna Jullig,1995-05-14,47336,Senior Staff
92834,Sigeru Irland,1992-08-04,65959,Senior Staff
92835,Freyja Godskesen,1993-03-20,56357,Senior Engineer
92836,Ziva Montresor,1998-01-26,43568,Engineer
92842,Maris Lorie,1996-06-29,40000,Senior Engineer
92851,Genki Capobianchi,1992-09-08,45494,Technique Leader
92856,Gurbir Stafford,1994-11-15,40946,Senior Engineer
92858,Eberhardt Grabner,1995-12-14,56681,Engineer
92859,Padma Hanabata,1995-01-26,41108,Assistant Engineer
92870,Atilio Imataki,1995-12-09,47261,Senior Engineer
92874,Ortrun Gronowski,1996-08-29,75333,Staff
92878,Phule Birjandi,1992-03-22,78958,Senior Staff
92879,Mana Hellwagner,1997-02-27,49087,Senior Engineer
92880,Goa Herber,1997-12-10,52141,Engineer
92887,Kazuhiro Oxenboll,1998-06-18,55713,Senior Staff
92888,Chanjung Capobianchi,1995-01-29,47910,Senior Staff
92893,Shiv Egerstedt,1996-12-17,40000,Engineer
92898,Gil Ghazalie,1990-06-25,68060,Senior Staff
92899,Kauko Vakili,1998-10-02,46444,Senior Staff
92900,Guiseppe Krider,1997-03-20,92016,Staff
92904,Bluma Kusalik,1995-07-28,75750,Senior Staff
92912,Shigeichiro Sichman,1997-11-28,40000,Senior Engineer
92936,Shih Renear,1994-09-08,40000,Staff
92945,Marlo Tyugu,1986-03-07,92271,Senior Staff
92946,Yannik Thombley,1986-11-02,52852,Technique Leader
92949,Khosrow Sewelson,1994-12-16,40000,Staff
92950,Weiru Kushner,1987-09-03,40386,Senior Engineer
92951,Shalesh Armand,1995-10-31,40000,Senior Staff
92959,Trygve Honiden,1997-12-06,49541,Senior Staff
92961,Youjian Speek,1986-02-25,57513,Technique Leader
92965,Weiye Salinas,1998-10-27,56969,Staff
92968,Moriyoshi Gecseg,1995-03-22,40000,Senior Engineer
92970,Goetz Segond,2002-01-31,71467,Senior Staff
92972,Marjo Ramamoorthy,1995-09-22,41684,Senior Engineer
92977,Alair Naumovich,1993-10-13,67607,Senior Staff
92980,Quingbo Kakkad,1993-02-02,50216,Senior Engineer
92981,Gurbir Raoux,1993-12-08,74454,Senior Staff
92983,Masoud Rosca,2002-06-12,48444,Senior Engineer
92987,Kiyotoshi Emden,1999-11-27,56600,Senior Staff
92996,Duangkaew Negoita,2001-12-04,40000,Senior Engineer
93000,Oscar Marakhovsky,2000-06-26,40000,Senior Staff
93001,Kersti Pusterhofer,1994-01-25,70062,Senior Staff
93005,Yurij Munos,1998-11-01,78520,Staff
93017,Gian Terkki,1990-08-21,40000,Senior Engineer
93020,Masako Fraisse,1997-09-24,44947,Senior Engineer
93030,Ulf Selvestrel,2001-07-20,40000,Senior Engineer
93031,Supot Kakkar,1991-04-24,72536,Senior Staff
93038,Chenyi Michaeli,1992-08-25,68017,Senior Staff
93039,Martijn Heiserman,1995-02-17,58307,Engineer
93041,Teiji Beetstra,2000-11-14,40000,Senior Engineer
93043,Takahira Andreotta,1990-07-22,51763,Senior Engineer
93048,Dayanand Koprowski,1999-06-02,54825,Staff
93049,Christoper Ananiadou,1998-05-28,45717,Engineer
93055,Prasadram Murrill,1990-02-21,44926,Senior Staff
93061,Cheong Matteis,1994-10-22,53754,Senior Engineer
93064,Vishv Koshiba,2001-06-09,40000,Senior Engineer
93074,KayLiang Talmor,2001-01-11,40000,Senior Staff
93075,Shushma Kavanagh,1996-12-21,40000,Senior Staff
93078,Magdalena Gyimothy,1998-05-26,47552,Engineer
93085,Evgueni Parhami,1989-04-09,59899,Senior Staff
93086,Arco Lubachevsky,1995-08-05,44885,Engineer
93094,Surveyors Lung,1999-12-31,77194,Senior Staff
93095,Sushant Krider,2001-07-02,45023,Senior Staff
93101,Marsja Marwedel,1999-08-26,48993,Senior Engineer
93102,Magdalena Barvinok,2001-02-14,40000,Senior Engineer
93103,Ramya Kermarrec,1991-07-26,40000,Senior Staff
93107,Martien Buchter,1985-10-31,43059,Senior Engineer
93108,Danny Dayang,2000-08-25,40000,Senior Engineer
93113,Chenye Braccini,1994-08-13,68548,Senior Engineer
93120,Maria Calkin,1991-05-21,40000,Senior Staff
93123,Kirk Shackel,1997-06-29,50787,Senior Engineer
93130,Kwun Neimat,1999-11-28,90388,Senior Staff
93136,Chaosheng Senzako,1999-12-15,84059,Senior Staff
93140,Rance Kitai,1991-05-21,49355,Senior Engineer
93143,Tonia Makinen,1998-08-03,43377,Senior Staff
93145,Zeljko Chimia,1999-09-25,50549,Senior Engineer
93150,Piyush Papsdorf,2001-03-02,60559,Senior Staff
93160,Trygve Hinsberger,2000-11-26,55396,Senior Staff
93161,Giao Garrabrants,1986-12-04,81897,Senior Staff
93164,Frazer Ruemmler,2002-03-01,52877,Senior Staff
93173,Toshimo Liesche,1993-01-12,66772,Senior Staff
93183,Kenton Marzano,1994-11-04,47299,Senior Engineer
93189,Neven Dalton,1993-07-17,43919,Senior Engineer
93194,Danco Baalen,1998-10-08,40000,Senior Staff
93195,Domenico Baak,1992-10-30,40000,Senior Staff
93197,Arie Magliocco,1999-05-02,91424,Staff
93203,Danel Zizka,1996-02-18,45304,Senior Staff
93205,Ger Guardalben,2001-08-01,62967,Senior Engineer
93207,Sashi Pearson,1996-08-28,53896,Staff
93211,Adhemar Massonet,1991-06-23,92664,Senior Staff
93219,Dulce Kolinko,1996-10-31,40000,Engineer
93221,Sanjit McDermid,1995-07-20,50551,Senior Staff
93224,Shigeo Gonthier,1986-02-05,69126,Senior Engineer
93233,Shaleah Chorvat,1992-05-16,61498,Technique Leader
93234,Abdelwaheb Erni,1998-05-02,40000,Staff
93237,Moto Marshall,1997-11-05,41576,Engineer
93241,Juichirou Borstler,1986-11-27,72731,Senior Staff
93243,Nidapan Wegerle,2002-07-31,59107,Senior Staff
93245,Mohan Zeidenstein,2000-10-01,42481,Senior Staff
93254,Shigeo Cichocki,1995-01-07,63450,Senior Staff
93257,Honesty Lorho,1997-05-14,49887,Staff
93259,Eran Merey,1995-11-09,52324,Engineer
93261,Pintsang Luca,1999-11-20,44298,Assistant Engineer
93273,Eberhardt Schwartzbauer,1992-02-08,40000,Senior Staff
93291,Kasidit Hofstetter,2002-05-26,60896,Senior Staff
93296,Baoqiu Montresor,1988-04-18,64693,Senior Staff
93297,Souichi Caine,1992-04-30,62953,Senior Engineer
93299,Hatsukazu Swist,1988-03-06,65191,Senior Engineer
93305,Kendra Kalsbeek,1998-03-02,90723,Senior Staff
93306,Teiji Dratva,2002-07-29,59495,Senior Engineer
93314,Carrsten Beeson,1992-09-29,40000,Senior Engineer
93315,Katsuo Ranai,1995-10-24,40000,Senior Engineer
93321,Masako Nivat,1992-07-22,66526,Senior Staff
93323,Bernd Danley,1998-03-08,46205,Senior Engineer
93325,Rasiah Georg,1996-02-04,68696,Senior Staff
93329,Shirish Anily,1987-05-06,82724,Senior Staff
93330,Navid Barinka,1990-03-26,68242,Senior Engineer
93335,Inderjeet Edelhoff,1999-05-02,40000,Engineer
93341,Fay Servi,1999-05-06,40164,Technique Leader
93343,Danae Zlotek,1997-02-17,40000,Engineer
93344,Bernardo Escriba,1993-01-07,74129,Senior Staff
93357,Padma Prochazka,1992-07-04,64343,Senior Staff
93359,Elliott Takanami,1995-02-03,62448,Staff
93360,Munenori Peral,1997-03-24,56345,Senior Engineer
93362,Persi Worfolk,1997-02-09,44371,Engineer
93366,Heejo Schach,1992-03-07,71579,Senior Staff
93371,Arumugam Krychniak,1998-08-30,91000,Staff
93375,Padma Fioravanti,1995-05-04,43975,Staff
93383,Guangming Christianini,1994-06-17,81865,Senior Staff
93384,Radhakrishnan Bridgland,1994-08-16,75312,Staff
93385,Sibyl Marrakchi,1992-11-24,40000,Senior Engineer
93387,Fumitaka Laurillard,1999-08-18,85067,Staff
93389,Sungwon Hooghiemstra,1991-11-22,48553,Senior Engineer
93396,Giap Penn,1991-11-11,40000,Senior Engineer
93399,Rosalie Bennet,1987-12-09,40000,Senior Engineer
93402,Zhensheng Kisuki,1993-09-10,40000,Senior Engineer
93405,Tamiya Marrevee,1985-12-14,53039,Technique Leader
93412,Sivanarayana Sinicrope,2001-04-08,62485,Senior Staff
93416,Naftaly Flowers,1993-05-15,69930,Senior Staff
93422,Nathan Stiles,1997-02-25,52497,Senior Staff
93426,Olivera Kambil,1996-12-19,40000,Senior Engineer
93427,Xuedong Vickson,1994-02-03,40000,Senior Staff
93430,Golgen Baar,1994-02-27,90656,Staff
93435,Palash Spelt,1997-07-25,51433,Senior Engineer
93436,Ung Crooks,1999-04-19,40779,Senior Staff
93441,Yunming Valette,1998-05-10,89516,Staff
93442,Barun Akiyama,1997-11-17,40000,Technique Leader
93445,Shahaf Imataki,1995-06-06,40000,Senior Staff
93447,Gregory Standera,1995-03-20,40000,Senior Staff
93449,Itzchak McAlpine,1990-09-13,55777,Technique Leader
93450,Jiakeng Kieras,1987-01-21,68059,Senior Staff
93451,Elliott Staudhammer,1996-01-08,53522,Technique Leader
93454,Subhada Munawer,1995-03-08,41033,Senior Engineer
93455,Tsutomu Hashii,1994-02-21,59917,Senior Staff
93458,Jagoda Pero,1996-06-26,45840,Senior Staff
93462,Domenico Peha,1997-04-05,51735,Staff
93464,Mang Kawashimo,1993-10-11,47478,Technique Leader
93466,Sasan Schwaller,1998-09-23,40998,Staff
93467,JoAnna Siksek,1998-09-14,64274,Engineer
93471,Jixiang Stemann,2001-03-07,56344,Senior Staff
93479,Adas Lieblein,1999-11-18,48594,Engineer
93481,Fumiko Peha,2000-11-11,72765,Senior Staff
93491,Margo Heinisuo,1997-12-18,40000,Senior Engineer
93492,Lenore Yetim,1994-09-16,40000,Senior Engineer
93495,Lunjin Gill,1987-09-12,41835,Senior Engineer
93499,Subhada Rosiles,1996-08-21,49161,Engineer
93509,Lijie Perl,1991-12-09,40000,Senior Engineer
93512,Rutger Ramras,1997-05-09,44544,Senior Engineer
93519,Bartek Kolinko,1992-11-01,58520,Senior Engineer
93520,Angel Unni,1997-11-15,43894,Senior Staff
93521,Idoia Lieberherr,2001-05-30,40000,Senior Engineer
93525,Shawna Oxman,1994-12-06,93708,Senior Staff
93536,Zhonghua Zongker,1993-07-20,54589,Senior Engineer
93539,Stevo Heystek,1993-10-04,73867,Senior Staff
93540,Vitali Thebaut,1996-02-01,40000,Engineer
93551,Sanjay Shrader,1991-06-23,72440,Senior Staff
93553,Maris Swist,1994-10-19,66269,Senior Staff
93558,Odinaldo Wendorf,1999-08-16,40000,Engineer
93559,Sungwon Rattan,1998-02-13,69469,Senior Staff
93561,Mario Takkinen,1998-06-14,80036,Senior Staff
93567,Sanjeeva Mitina,1994-12-01,51708,Senior Staff
93576,Xuedong Thorensen,1994-06-17,70898,Senior Staff
93577,Khalil Winter,1997-02-19,40000,Engineer
93581,Ramachenga Demir,1997-02-18,40000,Engineer
93599,Keung Gimarc,1998-03-11,50550,Engineer
93601,Leucio Piveteau,1995-12-30,47561,Senior Staff
93603,Moon Gniady,1996-10-29,40000,Staff
93611,Mizuhito Gronowski,1997-11-17,47845,Staff
93618,Volkmar Uludag,1996-08-02,100717,Staff
93621,Yishai Goodrum,1998-08-30,40000,Engineer
93625,Unal Debuse,1997-08-03,57454,Senior Staff
93629,Shuichi Manders,1991-11-17,40029,Senior Staff
93632,Kiyotoshi Vingron,1994-09-28,54509,Technique Leader
93634,Dietrich Chelton,1991-01-06,53040,Senior Staff
93639,Nahid Swan,1998-03-17,100139,Staff
93649,Tsutomu Driscoll,1997-03-14,62408,Assistant Engineer
93653,Filipp Greenaway,1995-03-15,40000,Senior Staff
93655,Sanjoy Gewali,2000-10-24,62287,Engineer
93658,Yuqun Birjandi,1999-07-22,51818,Engineer
93667,Tetsushi Griswold,1998-07-31,71991,Senior Staff
93670,Djelloul Pulkowski,1985-08-27,54647,Technique Leader
93676,Dipayan Takkinen,2001-04-04,49555,Senior Engineer
93677,Jovan Rohrbach,2001-12-11,54363,Senior Engineer
93682,Mari Mukaidono,1998-02-25,40408,Senior Engineer
93684,Katsuo Dulin,2001-02-11,40000,Senior Staff
93686,Zhiwei Radivojevic,1997-07-22,40000,Senior Staff
93693,Mamdouh Sudkamp,1996-11-26,40000,Senior Engineer
93698,Kamran Narahara,1994-05-07,56973,Senior Staff
93713,Angel Servi,2000-07-13,40000,Senior Engineer
93717,Duri Ramras,2002-02-16,40000,Senior Staff
93718,Moie Kropf,1995-08-04,40000,Senior Staff
93721,Supot Isaak,1994-03-13,50876,Senior Engineer
93729,Maik Sadowsky,1997-04-18,40000,Senior Staff
93730,Aemilian Noriega,1993-12-07,57937,Senior Staff
93734,Ebbe Kruskal,1995-04-30,60324,Staff
93735,Bernice Krichel,1993-07-15,51788,Senior Engineer
93736,Fen Gilg,1997-10-15,40000,Staff
93742,Shay Ushiama,1986-11-15,65129,Senior Staff
93744,Hitofumi Skrikant,1996-12-23,40000,Staff
93745,Mandell Schrooten,1992-04-15,41972,Senior Engineer
93747,Martina Christ,1998-10-04,54442,Senior Engineer
93754,Xianlong Ernst,1997-08-24,51626,Staff
93760,Toshiki Dechter,2000-04-01,45209,Senior Staff
93761,Gennady Pollock,1999-11-30,42307,Engineer
93763,Kazuhisa Jullig,1988-02-09,82505,Senior Staff
93769,Hidefumi Rothe,1998-04-10,64453,Engineer
93774,Martins Etalle,2001-03-04,40000,Senior Staff
93778,Genki Waterhouse,1987-03-04,41371,Senior Engineer
93781,Arvind Murtafg,1993-10-04,56551,Senior Staff
93784,Sadegh Beilner,1989-12-14,53088,Senior Staff
93785,Francesca VanScheik,1994-06-17,45564,Senior Engineer
93789,Yuguang Veevers,1993-01-06,40000,Senior Engineer
93791,Hongzhu Delgrande,1997-12-18,40000,Senior Engineer
93792,Kamakshi Kalefeld,1996-04-19,64283,Senior Staff
93796,Zhonghua Armand,1994-02-03,46673,Senior Engineer
93798,Monique Azumi,1995-03-02,68796,Senior Engineer
93803,Sampalli Bernardeschi,1997-02-08,40000,Senior Engineer
93806,Guiseppe Slaats,2000-02-06,58146,Senior Staff
93813,Giordano Janetzko,1993-10-31,66154,Senior Staff
93823,Susanna Birch,1999-07-18,75550,Senior Staff
93825,Rosella Mitsuhashi,1992-08-23,83974,Senior Engineer
93828,Maha Ertl,2001-08-24,40000,Senior Staff
93835,Tamiya Mapelli,1998-03-10,49962,Engineer
93840,Rosine Pulkowski,1995-11-07,55738,Senior Engineer
93846,Parke Bratten,1995-08-20,44861,Senior Engineer
93854,Constantine Rosaz,1993-11-06,40000,Senior Engineer
93855,Shridhar Jakobus,1996-07-29,71552,Engineer
93862,Aamer Dehkordi,2001-08-20,57463,Senior Engineer
93863,Fuqing Cardazo,1997-08-29,51474,Engineer
93864,Sibyl Zockler,1998-01-15,40000,Technique Leader
93865,Dzung Anily,1998-01-31,41761,Staff
93869,Lijie Maccarone,1987-06-08,42219,Senior Engineer
93877,Foong Ghelli,1997-11-06,88021,Senior Staff
93887,Zdislav Sidou,1995-05-03,40000,Senior Engineer
93889,Hironoby Basawa,2001-01-05,50040,Senior Staff
93891,Along Thebaut,1999-02-08,40000,Engineer
93894,Fuqing Stellhorn,1999-06-01,61425,Engineer
93895,Eben Alblas,1999-08-12,52341,Senior Staff
93915,Genevieve Waymire,2000-01-29,40000,Engineer
93921,Chuanti Driscoll,1997-05-27,51567,Senior Engineer
