emp_no,title,from_date,salary,fullname
34399,Staff,1998-05-31,40866,Becky Adachi
34401,Senior Engineer,1996-09-21,80958,Uno Lanteri
34403,Staff,1997-12-20,91801,Hilary Gilg
34406,Senior Staff,1997-11-26,81629,Yefim Mitsuhashi
34482,Senior Staff,1994-05-19,94971,Jouko Lortz
34407,Senior Staff,2002-06-18,40000,Lucian Lorch
34412,Senior Staff,1995-06-05,67006,Christ Itzigehl
34489,Senior Staff,1996-10-26,40000,Yaghout Krychniak
34417,Staff,1998-11-25,53607,Gio Flexer
34502,Senior Staff,1999-08-27,40000,Howell Maierhofer
34503,Senior Engineer,2001-01-04,68809,Huican Millington
34607,Engineer,1999-06-25,40000,Shaw Gimarc
34516,Senior Engineer,1992-06-26,58702,Florina Champarnaud
34610,Engineer,1994-08-26,40000,Xinan Ranum
34620,Assistant Engineer,1995-08-27,45981,Spyrose Roccetti
34623,Staff,1999-04-21,81602,Qingxiang Sabnani
34626,Senior Engineer,1994-06-17,55992,Udi McConalogue
34629,Technique Leader,1995-08-18,40000,Monique Bashian
34630,Senior Staff,1999-06-22,63282,Xiaoshan Whittlesey
34631,Engineer,1997-12-16,44417,Mihalis Danner
34632,Senior Engineer,2000-05-29,40000,Licheng Clouatre
34638,Senior Engineer,1997-11-17,40000,Bilhanan Hemaspaandra
34641,Senior Engineer,1985-10-27,69772,Cathie Jervis
34647,Senior Engineer,1993-06-29,40000,Kerryn Tiemann
34651,Senior Staff,1996-01-20,40000,Youngkon Leaver
34652,Senior Engineer,1997-05-30,40520,Fumino Bodoff
34661,Engineer,1995-06-29,41753,Kiyokazu Burnard
34662,Senior Engineer,2002-07-06,75580,Heeju Molenkamp
34667,Senior Staff,1998-01-18,40000,Shai Nicolson
34519,Senior Staff,1995-02-17,40000,Georg Steenbeek
34670,Senior Engineer,1995-10-19,66069,Mihalis Diderrich
34673,Senior Staff,1985-05-01,40000,Unal Pews
34522,Senior Engineer,1990-12-03,53327,Sibyl Rijckaert
34679,Senior Staff,2001-04-14,77544,Mayuri Soicher
34527,Senior Engineer,1996-04-02,40000,Rimon Tsunoo
34685,Senior Engineer,1998-08-07,40000,Serenella Picaronny
34690,Senior Engineer,1999-01-15,75200,Beshir Litzkow
34536,Senior Engineer,1987-06-07,51324,Danil Narahari
34695,Senior Staff,1999-07-12,40000,Margareta Gadepally
34538,Senior Engineer,1993-02-23,43516,Pranjal Rossi
34703,Senior Engineer,1996-01-10,55874,Geoff Azumi
34704,Engineer,1995-09-01,44865,Jaques Usery
34540,Senior Engineer,1998-11-11,66030,Vasilis Kranzdorf
34706,Engineer,1996-12-28,56341,Marl Mahnke
34709,Senior Staff,2001-08-26,50591,Anneli Kragelund
34543,Senior Engineer,2002-01-18,40000,Aris Fordan
34715,Technique Leader,1993-09-08,41205,Gully Rosenbaum
34548,Senior Staff,1999-01-06,44666,Weiru Kalefeld
34717,Senior Engineer,2002-04-27,54454,Reinhold Khalil
34720,Senior Engineer,2002-05-13,40000,Masamitsu Narlikar
34725,Senior Staff,1996-06-01,81438,Weijing Pollock
34550,Senior Staff,1993-11-03,100936,Szabolcs Borstler
34726,Senior Staff,1994-12-24,75135,Shridhar Emmart
34730,Senior Staff,1992-04-19,40000,Jiong Terwilliger
34552,Senior Staff,1995-04-04,73652,Souichi Llado
34734,Technique Leader,1992-07-18,48174,Ohad Aumann
34556,Senior Staff,2001-09-05,63944,Shigehito Huxford
34737,Engineer,1999-01-21,40000,Candido Litvinov
34738,Senior Engineer,1994-12-28,40000,Adhemar Thiran
34739,Staff,1998-08-03,40000,Arra Collavizza
34740,Technique Leader,1996-10-17,40000,Toney Sankaranarayanan
34557,Senior Engineer,2001-08-08,41941,Junsik Alvarado
34558,Staff,1997-12-03,62679,Zhonghui Feinberg
34750,Senior Engineer,1996-01-02,49315,Dharmaraja Binding
34560,Senior Staff,1996-11-13,40000,Weiye Isaac
34754,Senior Staff,1995-10-09,75069,Maren Llado
34758,Senior Staff,2000-04-27,53596,Lubomir Camurati
34564,Technique Leader,1988-09-15,62048,Shao Suomi
34759,Senior Engineer,1995-10-08,52835,Youngkon Petersohn
34763,Technique Leader,1989-04-19,40000,Shaz Scharstein
34570,Senior Staff,1994-10-02,41072,Chanjung Aloisi
34772,Staff,1996-11-01,73777,Pramod Strandh
34571,Senior Engineer,1997-08-04,57578,Snehasis Shrader
34576,Engineer,1998-03-11,50344,Niclas Vigier
34783,Staff,1994-10-20,78080,Ingmar Denos
34578,Technique Leader,1987-04-27,44973,Jahangir Baaz
34790,Senior Staff,1985-04-13,40000,Uma Krohn
34579,Senior Engineer,1999-12-16,46793,Aleksander Terkki
34584,Senior Staff,1997-10-01,53101,Uzi Chartres
34586,Senior Staff,1989-07-17,68572,Qunsheng Alvarado
34587,Senior Engineer,2001-01-15,77504,Duri Perna
34793,Senior Engineer,1997-02-13,40000,Monique Huhdanpaa
34591,Staff,1998-08-09,40000,Odysseas Vitiello
34797,Engineer,1999-10-04,40000,Elvia Bruckman
34597,Senior Staff,1994-03-22,68624,Jouko Bolotov
34805,Senior Engineer,1997-01-27,50971,Marek Siksek
34599,Senior Engineer,1985-03-10,66310,Insup Peltason
34814,Senior Staff,1997-11-13,78886,Rajmohan Tsukune
34600,Senior Staff,2002-05-29,67242,Godehard Middleton
34816,Senior Engineer,1994-09-12,54144,Chenyi Schreiter
34602,Senior Engineer,1994-12-20,48108,Garnet Flasterstein
34605,Senior Engineer,1997-05-28,52614,Arunachalam Middleton
34827,Staff,1997-02-10,76940,Heng Apsitis
34984,Engineer,1999-01-17,40000,Shaz Luff
34836,Senior Engineer,1993-09-22,40000,Mandell Wendorf
34839,Senior Staff,2001-01-05,65656,Henk Kermarrec
34847,Senior Engineer,1992-11-05,40000,Pranav Paciorek
34853,Senior Engineer,2001-03-17,47912,Lorien Levasseur
34857,Senior Engineer,1985-04-01,64062,Weicheng Birrer
34862,Senior Engineer,1993-10-23,44987,Zhilian Aumann
34987,Engineer,1997-11-22,52629,Rosella Ariola
34873,Senior Engineer,1993-02-05,40000,Ingmar Ruemmler
34988,Senior Staff,2001-01-21,55828,Moty Matzel
34990,Senior Staff,2002-06-03,58959,Roddy Mitina
34877,Senior Engineer,1995-08-12,40000,Claudi Kobara
34996,Senior Engineer,2000-01-01,59347,Chinhyun Butner
34882,Senior Staff,1988-05-06,53570,Christophe Suppi
34888,Senior Staff,1993-02-19,79060,Amalendu Plumb
34999,Senior Engineer,1995-04-23,56185,Shim Narwekar
34893,Senior Engineer,1995-05-19,42090,Susuma Pelc
35002,Staff,1999-08-10,72146,Debatosh Katiyar
34901,Senior Engineer,2001-06-11,54946,Uli Kaelbling
34904,Senior Engineer,2001-10-11,40000,Ulf Camarinopoulos
35003,Staff,1997-12-02,63306,Miomir Rajala
34906,Senior Engineer,1999-05-09,40000,Tzvetan Marrevee
35005,Senior Staff,2001-12-07,54293,Akeno Nanard
34915,Senior Staff,1991-06-06,53614,Christ Tetzlaff
35009,Senior Staff,1998-12-08,65754,Lansing Esteva
34922,Staff,1996-02-18,40263,Patricio Ramsay
35011,Senior Staff,1998-05-14,41668,Charmane Vernadat
34926,Engineer,1997-09-24,51292,Gift Klassen
34928,Senior Engineer,1988-03-02,40000,Anwar Flexer
35012,Senior Staff,2001-01-15,79235,Noritoshi Krybus
34929,Senior Staff,1999-03-09,40000,Mohit Litzler
34938,Engineer,1999-11-21,42794,Macha Penz
34939,Staff,1996-11-05,76555,DeForest Prenel
34944,Senior Engineer,2001-06-05,40000,Guoxiang Sanella
34947,Senior Staff,1994-04-22,85470,Mario Perfilyeva
34956,Senior Staff,2002-02-13,53655,Atilio Peris
34958,Senior Staff,1992-11-30,40000,Goetz Oberman
34960,Senior Staff,1985-07-22,76011,Vasilis Luga
34961,Staff,1999-08-02,50765,Uno Dolinsky
34962,Senior Engineer,1999-10-29,40000,Adly Rosay
34963,Senior Engineer,1997-04-19,40000,Sungwon Nyrup
34966,Senior Engineer,1997-06-12,59206,Kristof Pappas
34969,Engineer,1996-11-03,58694,Pranav Doering
35016,Engineer,1998-08-18,40000,Dinah Awdeh
35020,Senior Staff,1999-04-17,49884,Manibrata Haddadi
35021,Engineer,1995-10-24,49897,Jackson Schlenzig
35031,Senior Engineer,1999-07-14,40000,Horward Pearson
35042,Staff,1998-06-16,65916,Nahid Servieres
35170,Staff,1993-12-12,61423,Suzette Michaeli
35174,Senior Engineer,2002-07-09,40000,Tiina Hmelo
35175,Senior Engineer,2000-09-09,67570,Nirmal Miculan
35176,Senior Staff,1999-01-21,54946,Jiafu Wilharm
35180,Staff,1997-02-03,40000,Danae Reutenauer
35045,Senior Engineer,1997-10-31,40000,Tooru Hagimont
35181,Senior Staff,1998-02-05,64459,Parto Ghelli
35182,Senior Engineer,2001-01-30,57876,Uinam Eldridge
35046,Senior Staff,2002-05-10,62184,Sachem Luders
35188,Senior Engineer,2002-05-14,40000,Adel Lund
35049,Senior Staff,1995-09-30,40000,Xumin Kilgour
35192,Senior Staff,1999-08-10,40000,Candida Benzaken
35059,Engineer,1999-12-06,52725,Vitaly Flasterstein
35210,Senior Staff,1995-10-20,51082,Prodip Gecsel
35068,Engineer,1998-07-07,40000,Dines Melichar
35216,Technique Leader,1995-08-12,44245,Aleksander Karnin
35070,Senior Engineer,1994-12-15,67308,Kirk Masada
35223,Senior Engineer,1999-04-26,40000,Abdulah Busillo
35226,Senior Engineer,2001-02-21,53616,Byong Felcyn
35072,Senior Engineer,1995-09-17,65490,Kagan Sridhar
35229,Engineer,1997-06-09,55678,Georgy Erva
35085,Senior Staff,1994-11-25,62286,Chandrasekaran Goldhammer
35237,Staff,1998-04-06,50898,Kauko Schiettecatte
35238,Senior Engineer,1998-06-01,40000,Martien Winter
35089,Senior Engineer,1993-03-02,45709,Paris Lanzelotte
35245,Senior Engineer,1996-06-05,40000,Shridhar Quittner
35093,Senior Staff,1997-09-28,72488,Sverrir Mateescu
35256,Senior Staff,1994-12-14,67495,Wojceich McDermid
35258,Senior Engineer,1998-11-19,48179,Khedija Hettesheimer
35096,Senior Engineer,1990-02-23,40000,Gaetan Olivero
35097,Senior Staff,1990-10-02,67185,Fusako Kroha
35270,Technique Leader,1991-02-05,40338,Masali Bakhtari
35271,Senior Engineer,1994-02-05,55686,Val Speek
35273,Senior Staff,1987-05-13,46480,Zsolt Mitsuhashi
35100,Senior Engineer,1991-04-27,71200,Przemyslawa Zaiane
35278,Senior Staff,1995-08-04,56383,Djelloul Shrader
35280,Engineer,1997-03-25,40000,Tsz Nergos
35283,Senior Staff,1998-02-09,63755,Franziska Tischendorf
35105,Senior Staff,1998-11-12,53354,Piyush Lichtner
35287,Senior Staff,2001-07-19,55486,Yucel Conta
35292,Assistant Engineer,1996-12-12,48853,Chaoyi Perna
35297,Engineer,2000-01-27,40000,Yishai Dredge
35106,Senior Engineer,1999-11-30,40000,Aleksandar McAffer
35298,Engineer,2000-01-17,40000,Houman Esteva
35300,Senior Engineer,1999-09-30,40000,Chuanti Chenoweth
35108,Staff,1998-02-05,58284,Georgi Dratva
35303,Engineer,1993-09-06,40000,Fabrizio Perz
35304,Senior Staff,1998-05-11,56369,Taizo Griswold
35110,Senior Engineer,1998-08-02,48028,Reinhold Speckmann
35120,Staff,1998-06-13,85483,Sailaja Demeyer
35319,Engineer,1994-01-25,40000,Sariel Benveniste
35123,Engineer,1999-07-12,57984,Yechezkel Schaaf
35326,Senior Staff,1999-11-17,40000,Arco Schwabacher
35127,Senior Staff,1997-11-14,53729,Naftali Pagter
35329,Senior Staff,1991-11-23,62611,Goetz Lukaszewicz
35331,Senior Engineer,1999-01-14,52066,Basim Ghazalie
35333,Senior Engineer,2002-07-10,43872,Hideyuki Veldwijk
35137,Senior Staff,1998-09-14,66091,Tonny Collavizza
35336,Senior Staff,2001-10-26,40000,Xinglin Uehara
35342,Senior Engineer,1988-02-29,60912,Elvis Potthoff
35138,Senior Engineer,1994-10-19,49606,Susuma Boreale
35139,Engineer,1996-01-30,41713,Vasiliy Lichtman
35141,Senior Staff,1990-03-03,54392,Shmuel Sooriamurthi
35142,Senior Engineer,1994-07-20,47813,Conor Uhrig
35352,Senior Engineer,1996-02-27,40000,Koldo Kilgour
35146,Engineer,1999-04-27,61920,Kasturi Cummings
35361,Senior Engineer,1997-02-20,49542,Nahid Krohn
35158,Engineer,1998-02-22,40000,Anestis Pramanik
35363,Senior Staff,1997-01-18,61245,Odoardo England
35365,Senior Staff,1985-08-01,40000,Divier Quadeer
35368,Senior Staff,1994-12-26,48310,Susanta Guting
35371,Senior Engineer,2000-01-13,40000,Arup Chleq
35374,Senior Engineer,1998-03-22,50137,Leah Kroha
35159,Staff,1998-08-14,40000,Mohammad Demke
35533,Senior Engineer,1998-04-17,48609,Marla Nyrup
35394,Senior Staff,1994-12-24,40000,Shmuel Muchinsky
35395,Engineer,1997-09-26,68294,JoAnna Brookner
35397,Senior Staff,2000-09-12,45509,Kazuhira Slobodova
35536,Senior Staff,1998-10-22,40000,Quingbo Jeong
35403,Senior Engineer,1998-05-12,46810,Murthy Osgood
35550,Senior Staff,1987-12-14,67201,Van Hutton
35410,Technique Leader,1993-07-11,40000,Hironobu Litvinov
35411,Senior Engineer,1997-07-02,40000,Billie Rohrbach
35415,Senior Staff,1990-06-18,41350,Frazer Hasham
35416,Senior Staff,1994-02-11,40000,Heather Wroclawski
35417,Senior Staff,2002-01-14,62000,Gopalakrishnan Schach
35418,Senior Staff,1991-03-10,58389,Mircea Unni
35423,Senior Engineer,1994-11-30,58766,Moss Caine
35425,Senior Engineer,1994-06-29,73784,Hinrich Desikan
35426,Senior Staff,1999-11-06,40000,Elgin Fairtlough
35552,Senior Engineer,1991-06-29,54056,Sungwon Cangellaris
35429,Senior Engineer,1995-08-17,61992,Cathie Ducloy
35431,Engineer,1994-12-18,40000,Shuky Domenig
35440,Senior Engineer,1998-09-10,40000,Paloma Xiaoshan
35451,Senior Staff,1997-02-14,40000,Jinya Naudin
35457,Staff,1995-12-10,74050,Yishay Michaels
35458,Senior Engineer,1998-11-22,45836,Emdad Luks
35460,Senior Engineer,1997-11-22,40000,Mohan Siepmann
35470,Senior Engineer,1993-11-01,64604,Satoru Ranai
35471,Senior Staff,1996-04-28,81401,Sailaja Birsak
35472,Senior Staff,1999-03-04,69631,Mountaz Talmon
35473,Senior Staff,1995-08-10,66295,Arno Schoegge
35554,Senior Staff,1996-07-06,40000,Aran Bahl
35474,Staff,1998-12-20,71662,Katsuo Guting
35476,Senior Staff,2000-04-07,51888,Frederique Heinisuo
35557,Senior Engineer,1991-10-27,62287,Rosalyn Cooman
35480,Engineer,1998-06-17,49335,Mansur Ranta
35484,Engineer,1995-02-03,41546,Jeane Gire
35485,Senior Engineer,1994-04-07,41376,Margo Tyugu
35558,Senior Staff,2002-06-17,62866,Kshitij Staudhammer
35489,Senior Staff,1998-11-01,42090,Jeanne Godskesen
35559,Technique Leader,1999-06-14,48834,Adit Murtha
35493,Senior Staff,1995-08-15,65762,Jaihie Bernardinello
35567,Senior Engineer,1990-08-20,59775,Sorina Menhardt
35495,Technique Leader,1997-10-27,40000,Monique Lichtner
35501,Engineer,1999-10-01,45820,Gretta Scharstein
35507,Senior Engineer,1994-11-08,48638,Basim DasSarma
35570,Senior Engineer,2002-07-09,55970,Baocai Katzenelson
35510,Senior Engineer,2002-06-30,40000,JoAnne Merks
35572,Staff,1993-10-26,40000,Achilleas Turnbull
35524,Senior Engineer,2001-05-18,48663,Shigehito Jarecki
35584,Technique Leader,1987-09-04,58810,Gift DasSarma
35525,Senior Engineer,1995-09-10,40000,Aran Oehlmann
35526,Senior Staff,2002-02-19,40000,Claude McFarlin
35589,Senior Engineer,1995-01-13,49962,Kyoichi Trystram
35591,Senior Engineer,1997-01-22,40000,Dinkar Khasidashvili
35592,Senior Engineer,1995-03-03,48004,Arun Chleq
35598,Senior Staff,1997-07-16,40000,Aksel Gini
35604,Senior Engineer,2000-03-02,55773,Kwan Falck
35606,Engineer,1998-11-19,40000,Martina Anguita
35726,Senior Engineer,1997-03-19,67875,Shigeu Farrar
35731,Staff,1999-07-11,49767,Satosi Schade
35734,Senior Staff,1999-11-13,40483,Francesca Baak
35610,Senior Staff,1995-05-09,40000,Aruna Kornyak
35735,Staff,1998-04-08,41723,Patricio Velasco
35736,Senior Engineer,1994-12-22,54086,Tonny Pargas
35612,Senior Staff,2001-04-13,70360,Gonzalo Baek
35617,Senior Engineer,1992-02-04,42795,Guozhong Yemenis
35755,Senior Engineer,1988-12-10,40000,Xudong Zultner
35618,Senior Engineer,2000-05-12,48723,Arie Auyong
35763,Senior Staff,1999-04-09,63000,Gou Reinhard
35625,Engineer,1998-01-18,40000,Huai Vieth
35774,Senior Engineer,2000-10-22,58604,Sastry Montresor
35776,Senior Engineer,2002-02-06,53730,Martien Fujisaki
35626,Senior Engineer,1995-12-13,44353,Yishay Axelband
35780,Senior Staff,1995-04-27,57827,Duro Tyugu
35628,Senior Staff,1990-03-03,52932,Yoshinari Douceur
35634,Senior Engineer,1998-08-30,61922,Chiranjit Pokrovskii
35788,Senior Staff,1994-12-18,43458,Weiyi Burnard
35790,Senior Engineer,1995-08-08,40000,Barry Ramsey
35795,Senior Engineer,2002-06-14,40000,Dmitry Gajiwala
35635,Senior Staff,1996-11-12,40000,Ekawit Cangellaris
35796,Engineer,1997-08-08,48042,Billur Anguita
35797,Senior Engineer,1994-07-11,49630,Emran Hiroyama
35638,Staff,1996-05-06,88781,Bodo Munro
35639,Senior Engineer,1998-06-25,40000,Khoa Calkin
35640,Senior Engineer,1994-07-08,43257,Chriss Lanphier
35644,Staff,1999-05-25,44118,Sreekrishna Heusch
35820,Senior Engineer,1998-07-22,62351,Michaela Brizzi
35645,Senior Staff,2001-01-23,78324,Domenico Azuma
35827,Senior Staff,1988-07-07,55189,Kazuhisa Azumi
35648,Senior Staff,1994-02-05,40000,Dharmaraja Schaaf
35830,Senior Engineer,1994-04-30,40000,Magy McFarlan
35832,Technique Leader,1997-07-10,45407,Elzbieta Smeets
35659,Staff,1997-07-17,80399,Gro Armand
35836,Senior Engineer,1999-04-02,48549,Zongyan Albarhamtoshy
35846,Senior Staff,1989-09-20,62216,Sham Nitsche
35848,Senior Staff,1999-04-16,61907,Yongqiao Itschner
35660,Staff,1995-07-26,40000,Tetsushi Brodie
35666,Senior Engineer,1993-02-07,47885,Munehiko Narwekar
35860,Senior Engineer,1992-04-20,73292,Conrado Zschoche
35673,Engineer,1997-12-08,50178,Mack Kalsbeek
35865,Senior Engineer,2002-06-11,40000,Claudi Fujisaki
35866,Technique Leader,1998-03-15,41657,Udaiprakash Onuegbe
35874,Senior Staff,1999-03-17,64006,Zeydy Melter
35679,Senior Engineer,1995-01-01,52312,Gil Lunt
35878,Senior Staff,1997-03-06,60218,Yurij Krohn
35879,Senior Staff,2000-05-28,40000,Siddarth Riefers
35882,Senior Engineer,1994-10-14,51400,Sushant Hambrick
35883,Senior Engineer,2000-07-20,69649,Tsz Siegrist
35681,Senior Engineer,1990-08-23,71140,Luise Roisin
35887,Senior Engineer,1996-05-11,40000,Heather Wrigley
35888,Engineer,1997-07-29,40000,Yagil Milicic
35685,Senior Staff,1996-10-11,54930,Raimond Brookman
35891,Senior Engineer,1995-12-22,43592,Bokyung Birnbaum
35892,Senior Staff,1994-01-07,48250,Ghassan Olivero
35706,Engineer,1999-09-12,50374,Gererd Schwabacher
35899,Staff,1995-12-30,40000,Cathie Cannard
35900,Senior Staff,1996-07-31,51155,Jixiang Kalefeld
35709,Staff,1999-02-28,61461,Ulises Lueh
35902,Engineer,1998-06-08,63493,Mayuko Christ
36088,Senior Staff,1997-03-27,40000,Conor Gajiwala
35914,Senior Staff,2001-04-15,40000,Ranga Chiola
35916,Senior Engineer,1990-03-20,40000,Wonhee Talmon
35919,Senior Staff,1988-10-14,49614,Doowon Jervis
35933,Senior Engineer,2000-07-10,40000,Luigi Onuegbe
35939,Senior Staff,1995-03-12,57329,Hiroyasu Demri
35944,Senior Engineer,1998-11-09,54934,Basant Zambonelli
35946,Senior Engineer,1999-07-19,50836,Babette Montemayor
35959,Staff,1997-10-11,60442,Kenroku Lorin
35960,Senior Staff,1995-11-16,52523,Adam Danlos
35972,Senior Staff,1997-08-13,40000,Halsur Leonhardt
35974,Senior Staff,1990-01-30,40000,Aksel Rosin
35976,Staff,1998-01-21,70093,Hongzue Fujisaki
35979,Staff,1994-08-28,50993,Alenka Stanfel
35981,Staff,1998-01-03,86519,Toney Denis
35983,Senior Staff,1992-10-25,48716,Shigehiro Plavsic
35991,Staff,2000-01-31,60311,Gurbir Crelier
35994,Senior Engineer,1995-06-22,58800,Ibibia Conia
35995,Senior Staff,2002-05-01,40000,Boutros Gladwell
36000,Senior Engineer,1996-05-11,40000,Weidon Genin
36002,Staff,1998-09-10,40000,Moto Siepmann
36009,Senior Engineer,1990-10-04,41986,Pranjal Gonthier
36020,Senior Engineer,1999-09-14,55481,Zhilian Krzyzanowski
36023,Senior Engineer,1998-07-05,51717,Uma Picaronny
36030,Staff,1997-08-12,63630,Berni Kleiser
36032,Senior Staff,1994-12-25,63299,Mikhail Luck
36042,Staff,1998-03-10,66139,Chaitali Prochazka
36043,Senior Staff,2002-03-18,90719,Fai Rubsam
36048,Senior Engineer,1999-02-03,46526,Isaac Marrakchi
36051,Senior Engineer,1998-04-10,43590,Yakkov Liedekerke
36053,Senior Staff,2002-07-15,61103,Adel Bratten
36055,Senior Staff,1994-06-04,72106,Changho Rubsam
36073,Senior Staff,1992-10-10,77598,Shirish Gire
36075,Senior Staff,1990-05-15,40000,Achilleas Herbst
36079,Senior Staff,1996-12-28,40606,Suzette Gyorkos
36080,Senior Staff,1993-10-01,40000,Sachar Grabner
36272,Senior Engineer,1996-09-28,66936,Valeri Alencar
36278,Senior Engineer,1998-02-07,44271,Geoffry Lamma
36284,Staff,1995-08-06,79781,Guther Camarinopoulos
36303,Senior Engineer,2000-04-09,52644,Amstein Anandan
36309,Senior Engineer,1994-10-13,46800,Shawna Badr
36311,Senior Staff,2000-04-24,78715,Jahangir Burnard
36313,Technique Leader,1991-07-01,43863,Candido Wynblatt
36314,Senior Engineer,1998-09-29,40000,Yucel Brobst
36321,Senior Staff,1999-12-03,45236,Gilbert Syang
36089,Senior Engineer,1999-10-18,41838,Takahira Garigliano
36101,Senior Engineer,1999-03-11,40000,Vojin Beerel
36338,Senior Staff,1999-02-26,41846,Chuanti Spelt
36340,Senior Engineer,1997-08-28,53971,Xiaoqiu Speek
36349,Staff,1997-01-13,60033,Aloys Ladret
36352,Engineer,1995-09-04,40000,Djelloul Picht
36353,Engineer,1998-02-08,51692,Nahum Hutter
36355,Senior Engineer,1996-01-10,56593,Aleksandar Alblas
36356,Senior Staff,1998-06-25,93403,Susumu Alblas
36357,Senior Staff,1998-11-29,41131,Yongdong Rohrbach
36109,Senior Engineer,2001-11-15,40000,Masaki Farrag
36358,Staff,1994-11-03,72511,Khue Hiroyama
36368,Senior Engineer,1995-12-14,72138,Shaibal Farris
36372,Senior Staff,1992-06-29,74338,Ronghao Conta
36113,Senior Engineer,2001-08-21,59172,Yuichiro Baezner
36383,Senior Staff,1998-01-24,40000,Gudjon Krogh
36387,Senior Staff,1996-12-24,60105,Nahid Montemayor
36390,Staff,1996-09-17,40000,Randi Potthoff
36395,Senior Engineer,1994-05-03,75189,Kwangsub Boudaillier
36397,Senior Staff,2000-02-21,56034,Maria Perl
36398,Senior Staff,1998-12-08,71549,Jeanne Birke
36403,Senior Staff,1999-02-09,80571,Niranjan Cyre
36404,Senior Staff,1995-05-17,40000,Shimshon Weedman
36125,Staff,1997-08-13,76548,Barun Remmele
36410,Senior Staff,1992-07-15,50895,Navin Steenbeek
36412,Senior Staff,1994-06-20,61626,Abdulah Senzako
36413,Senior Staff,2000-04-28,40000,Sadun Wilfing
36426,Senior Staff,1998-05-11,40000,Kendra Streng
36427,Senior Engineer,2000-05-04,46282,Baziley Gecsei
36428,Senior Staff,1994-08-05,40000,Izaskun Verhaegen
36441,Senior Engineer,2001-11-03,43986,Dekang Pearson
36445,Senior Staff,1988-05-09,92608,Sudharsan Ellozy
36131,Senior Engineer,1994-04-24,46336,Theron Badache
36452,Engineer,2001-01-08,80945,Rosita Reeken
36137,Staff,1995-06-10,80372,Fai Famili
36140,Senior Engineer,1998-02-02,63787,Ung Hutton
36461,Senior Staff,1998-01-17,57198,Baziley Lorho
36463,Staff,2000-01-02,68998,Chanjung Burnard
36464,Engineer,1996-06-15,40174,Conor Schlenzig
36467,Staff,1996-09-08,64835,Navid Thibadeau
36470,Senior Staff,1999-03-28,50417,Kenton Fritzsche
36143,Senior Staff,1997-10-30,40000,Udi Gips
36472,Engineer,1997-03-23,40000,Munehiko Hellwagner
36475,Senior Staff,1999-07-22,40000,Tomoyuki Khalid
36147,Senior Staff,1986-01-30,53798,Richard Syrotiuk
36487,Senior Engineer,1992-03-21,55277,Basem Muhlberg
36490,Senior Staff,1998-04-01,40420,Xiaobin Danley
36491,Senior Engineer,2002-03-16,52847,Margareta Luon
36151,Senior Engineer,1990-08-07,44952,Adil Nyrup
36498,Senior Staff,1989-04-01,40000,Isaac Pouyioutas
36502,Engineer,1997-09-25,40000,Georgy Uludag
36503,Technique Leader,1991-08-29,45740,Somnath Lundstrom
36156,Technique Leader,1994-08-07,56782,Randi Scharstein
36516,Senior Engineer,1992-11-28,40000,Qiwen Piazza
36522,Senior Staff,1997-02-14,73586,Heping Swen
36159,Senior Engineer,1989-11-11,52413,Theron Glinert
36525,Senior Engineer,1991-09-20,78190,Dinkar Aseltine
36529,Staff,1998-01-20,62064,Toong Bage
36532,Senior Staff,1999-11-04,52945,Elgin Kitai
36167,Senior Engineer,1997-07-28,40000,Mart Murtafg
36536,Engineer,1996-10-16,71404,Alair Miara
36537,Senior Engineer,1993-02-05,40000,Adin Kawashima
36539,Senior Engineer,1994-10-08,40000,Gopalakrishnan Farrar
36542,Assistant Engineer,1998-07-04,40000,Sibyl Dredge
36546,Senior Staff,1996-02-23,72459,Christ Merks
36555,Senior Staff,1994-11-06,44044,Takahiro Rothenberg
36173,Senior Engineer,2002-03-03,57002,Rance Takkinen
36557,Technique Leader,1989-12-14,49462,Josyula Journel
36567,Engineer,1995-03-11,53314,Insup Gerteisen
36174,Engineer,1997-08-08,68190,Saeko Escriba
36573,Senior Engineer,2002-07-04,40000,Xuedong Lakshmanan
36178,Senior Staff,1999-06-04,89600,Bernt Valette
36579,Senior Engineer,2001-02-28,65922,Yurii Terlouw
36582,Engineer,1996-07-05,63036,Xinyu Schauser
36189,Senior Engineer,1995-11-11,40000,Masaru Harllee
36590,Assistant Engineer,1994-07-11,40000,Sanjai Macedo
36591,Senior Staff,1992-12-10,75346,Heeju Goodrum
36597,Senior Staff,1998-05-14,80678,Boguslaw Stellhorn
36599,Senior Engineer,1995-03-20,40000,Genevieve Munck
36603,Senior Engineer,1998-09-14,40000,Heon Unno
36604,Senior Engineer,1990-11-30,40000,Angus Khalid
36607,Senior Engineer,1989-08-07,40000,Ramalingam Broder
36610,Senior Staff,1996-03-03,65369,Girolamo Furedi
36617,Senior Engineer,1994-02-27,40000,Xiaobin Sullins
36620,Senior Staff,1995-06-23,87944,Arno Itzigehl
36621,Engineer,1995-12-31,75765,Remco Dulin
36622,Senior Engineer,1997-03-13,40000,Ashish Rubsam
36625,Staff,1994-06-15,40000,Tetsushi Unni
36627,Technique Leader,1988-12-06,58519,Mary Quadeer
36636,Engineer,2001-10-08,40873,Zhenhua Portugali
36638,Senior Staff,1996-05-27,52553,Maris Schiper
36640,Senior Engineer,1994-02-14,42768,Suebskul Masand
36190,Senior Staff,2000-07-15,40298,Luerbio Bresenham
36650,Senior Staff,1998-08-22,81706,Amabile Percebois
